"","Chisq","Df","Pr..Chisq."
"poly(Ldscp, 2)",8.45914866274037,2,0.0145585863631499
"Treatment",1.72207925807259,1,0.189425618682006
"Distance",0.0308521259476942,1,0.860570700129736
"poly(Ldscp, 2):Treatment",10.4598544510474,2,0.00535391491683691
"Treatment:Distance",0.000169449606125903,1,0.989614005738648
