couple	HSN1000	HSN500	garde
1	27.01778392	12.16670535	non
2	28.04582903	19.24544165	oui
3	38.8279123	19.30467033	oui
4	26.84910347	22.03138454	oui
5	21.53651593	13.99885062	oui
6	62.71551083	57.29848694	oui
7	51.76228943	61.24539887	oui
8	22.73163762	34.63689812	oui
9	39.31569787	31.22561984	non
10	35.4503828	21.02306643	non
11	44.97868939	71.99172649	non
12	46.56107596	55.21157806	non
