couple	bande	mod	date	annee	ini	restant	paras	pred	Tx_pred	Tx_para	session	code2	code3
5	BF	00m	21/7/17	2017	10	7	0	3	0.3	0	1	5BF00m	5BF
5	BF	00m	21/7/17	2017	10	10	0	0	0	0	1	5BF00m	5BF
5	BF	05m	21/7/17	2017	10	7	0	3	0.3	0	1	5BF05m	5BF
5	BF	05m	21/7/17	2017	10	10	0	0	0	0	1	5BF05m	5BF
5	BF	05m	21/7/17	2017	10	7	0	3	0.3	0	1	5BF05m	5BF
5	BF	05m	21/7/17	2017	10	9	0	1	0.1	0	1	5BF05m	5BF
5	BF	20m	21/7/17	2017	10	7	0	3	0.3	0	1	5BF20m	5BF
5	BF	20m	21/7/17	2017	10	6	0	4	0.4	0	1	5BF20m	5BF
5	BF	20m	21/7/17	2017	10	7	0	3	0.3	0	1	5BF20m	5BF
5	BF	20m	21/7/17	2017	10	10	0	0	0	0	1	5BF20m	5BF
6	BE	00m	21/7/17	2017	10	9	0	1	0.1	0	1	6BE00m	6BE
6	BE	00m	21/7/17	2017	10	9	0	1	0.1	0	1	6BE00m	6BE
6	BE	00m	21/7/17	2017	10	7	0	3	0.3	0	1	6BE00m	6BE
6	BE	00m	21/7/17	2017	10	10	0	0	0	0	1	6BE00m	6BE
6	BE	05m	21/7/17	2017	10	10	0	0	0	0	1	6BE05m	6BE
6	BE	05m	21/7/17	2017	10	10	0	0	0	0	1	6BE05m	6BE
6	BE	05m	21/7/17	2017	10	6	0	4	0.4	0	1	6BE05m	6BE
6	BE	05m	21/7/17	2017	10	7	0	3	0.3	0	1	6BE05m	6BE
6	BE	20m	21/7/17	2017	10	6	0	4	0.4	0	1	6BE20m	6BE
6	BE	20m	21/7/17	2017	10	9	0	1	0.1	0	1	6BE20m	6BE
6	BE	20m	21/7/17	2017	10	8	0	2	0.2	0	1	6BE20m	6BE
6	BE	20m	21/7/17	2017	10	9	0	1	0.1	0	1	6BE20m	6BE
6	BF	00m	21/7/17	2017	10	5	0	5	0.5	0	1	6BF00m	6BF
6	BF	00m	21/7/17	2017	10	2	8	0	0	0.8	1	6BF00m	6BF
6	BF	00m	21/7/17	2017	10	10	0	0	0	0	1	6BF00m	6BF
