couple	bande	mod	date	session	ini	restant	predates	tx_pred	annee	code2	code3
5	BE	20m	11/7/17	1	10	10	0	0	2017	5BE20m	5BE
5	BF	00m	11/7/17	1	10	0	10	1	2017	5BF00m	5BF
5	BF	00m	11/7/17	1	10	8	2	0.2	2017	5BF00m	5BF
5	BF	00m	11/7/17	1	10	0	10	1	2017	5BF00m	5BF
5	BF	00m	11/7/17	1	10	9	1	0.1	2017	5BF00m	5BF
5	BF	05m	11/7/17	1	10	10	0	0	2017	5BF05m	5BF
5	BF	05m	11/7/17	1	10	2	8	0.8	2017	5BF05m	5BF
5	BF	05m	11/7/17	1	10	0	10	1	2017	5BF05m	5BF
5	BF	05m	11/7/17	1	10	7	3	0.3	2017	5BF05m	5BF
5	BF	20m	11/7/17	1	10	8	2	0.2	2017	5BF20m	5BF
5	BF	20m	11/7/17	1	10	8	2	0.2	2017	5BF20m	5BF
5	BF	20m	11/7/17	1	10	10	0	0	2017	5BF20m	5BF
5	BF	20m	11/7/17	1	10	0	10	1	2017	5BF20m	5BF
6	BE	00m	13/7/17	1	10	5	5	0.5	2017	6BE00m	6BE
6	BE	00m	13/7/17	1	10	6	4	0.4	2017	6BE00m	6BE
6	BE	00m	13/7/17	1	10	7	3	0.3	2017	6BE00m	6BE
6	BE	00m	13/7/17	1	10	9	1	0.1	2017	6BE00m	6BE
6	BE	05m	13/7/17	1	10	0	10	1	2017	6BE05m	6BE
6	BE	05m	13/7/17	1	10	6	4	0.4	2017	6BE05m	6BE
6	BE	05m	13/7/17	1	10	0	10	1	2017	6BE05m	6BE
6	BE	05m	13/7/17	1	10	8	2	0.2	2017	6BE05m	6BE
6	BE	20m	13/7/17	1	10	10	0	0	2017	6BE20m	6BE
6	BE	20m	13/7/17	1	10	9	1	0.1	2017	6BE20m	6BE
6	BE	20m	13/7/17	1	10	0	10	1	2017	6BE20m	6BE
6	BE	20m	13/7/17	1	10	9	1	0.1	2017	6BE20m	6BE
6	BF	00m	13/7/17	1	10	0	10	1	2017	6BF00m	6BF
6	BF	00m	13/7/17	1	10	8	2	0.2	2017	6BF00m	6BF
6	BF	00m	13/7/17	1	10	10	0	0	2017	6BF00m	6BF
6	BF	00m	13/7/17	1	10	8	2	0.2	2017	6BF00m	6BF
6	BF	05m	13/7/17	1	10	10	0	0	2017	6BF05m	6BF
6	BF	05m	13/7/17	1	10	9	1	0.1	2017	6BF05m	6BF
