"","couple","bande","mod","date","annee","ini","restant","paras","pred","Tx_pred","Tx_para","session","code2","code3","code2_session"
"117","7","BE","20m","21/7/17","2017",10,0,0,10,1,0,"1","7BE20m","7BE","7BE20m 1"
"118","7","BE","20m","21/7/17","2017",10,10,0,0,0,0,"1","7BE20m","7BE","7BE20m 1"
"119","7","BE","20m","21/7/17","2017",10,10,0,0,0,0,"1","7BE20m","7BE","7BE20m 1"
"120","7","BE","20m","21/7/17","2017",10,10,0,0,0,0,"1","7BE20m","7BE","7BE20m 1"
"121","7","BF","00m","21/7/17","2017",10,5,0,5,0.5,0,"1","7BF00m","7BF","7BF00m 1"
"122","7","BF","00m","21/7/17","2017",10,8,0,2,0.2,0,"1","7BF00m","7BF","7BF00m 1"
"123","7","BF","00m","21/7/17","2017",10,8,0,2,0.2,0,"1","7BF00m","7BF","7BF00m 1"
"124","7","BF","00m","21/7/17","2017",10,0,0,10,1,0,"1","7BF00m","7BF","7BF00m 1"
"125","7","BF","05m","21/7/17","2017",10,8,0,2,0.2,0,"1","7BF05m","7BF","7BF05m 1"
"126","7","BF","05m","21/7/17","2017",10,8,0,2,0.2,0,"1","7BF05m","7BF","7BF05m 1"
"127","7","BF","05m","21/7/17","2017",10,7,0,3,0.3,0,"1","7BF05m","7BF","7BF05m 1"
"128","7","BF","05m","21/7/17","2017",10,10,0,0,0,0,"1","7BF05m","7BF","7BF05m 1"
"129","7","BF","20m","21/7/17","2017",10,0,0,10,1,0,"1","7BF20m","7BF","7BF20m 1"
"130","7","BF","20m","21/7/17","2017",10,2,0,8,0.8,0,"1","7BF20m","7BF","7BF20m 1"
"131","7","BF","20m","21/7/17","2017",10,1,0,9,0.9,0,"1","7BF20m","7BF","7BF20m 1"
"132","7","BF","20m","21/7/17","2017",10,8,0,2,0.2,0,"1","7BF20m","7BF","7BF20m 1"
"133","8","BE","00m","21/7/17","2017",10,8,0,2,0.2,0,"1","8BE00m","8BE","8BE00m 1"
"134","8","BE","00m","21/7/17","2017",10,6,0,4,0.4,0,"1","8BE00m","8BE","8BE00m 1"
"135","8","BE","00m","21/7/17","2017",10,7,0,3,0.3,0,"1","8BE00m","8BE","8BE00m 1"
"136","8","BE","00m","21/7/17","2017",10,8,0,2,0.2,0,"1","8BE00m","8BE","8BE00m 1"
"137","8","BE","05m","21/7/17","2017",10,1,0,9,0.9,0,"1","8BE05m","8BE","8BE05m 1"
"138","8","BE","05m","21/7/17","2017",10,8,0,2,0.2,0,"1","8BE05m","8BE","8BE05m 1"
"139","8","BE","05m","21/7/17","2017",10,6,0,4,0.4,0,"1","8BE05m","8BE","8BE05m 1"
"140","8","BE","05m","21/7/17","2017",10,8,0,2,0.2,0,"1","8BE05m","8BE","8BE05m 1"
"141","8","BE","20m","21/7/17","2017",10,9,0,1,0.1,0,"1","8BE20m","8BE","8BE20m 1"
"142","8","BE","20m","21/7/17","2017",10,8,0,2,0.2,0,"1","8BE20m","8BE","8BE20m 1"
"143","8","BE","20m","21/7/17","2017",10,9,0,1,0.1,0,"1","8BE20m","8BE","8BE20m 1"
"144","8","BE","20m","21/7/17","2017",10,6,0,4,0.4,0,"1","8BE20m","8BE","8BE20m 1"
"145","8","BF","00m","21/7/17","2017",10,8,0,2,0.2,0,"1","8BF00m","8BF","8BF00m 1"
"146","8","BF","00m","21/7/17","2017",10,6,0,4,0.4,0,"1","8BF00m","8BF","8BF00m 1"
"147","8","BF","00m","21/7/17","2017",10,9,0,1,0.1,0,"1","8BF00m","8BF","8BF00m 1"
"148","8","BF","00m","21/7/17","2017",10,7,0,3,0.3,0,"1","8BF00m","8BF","8BF00m 1"
"149","8","BF","05m","21/7/17","2017",10,9,0,1,0.1,0,"1","8BF05m","8BF","8BF05m 1"
"150","8","BF","05m","21/7/17","2017",10,7,0,3,0.3,0,"1","8BF05m","8BF","8BF05m 1"
"151","8","BF","05m","21/7/17","2017",10,4,0,6,0.6,0,"1","8BF05m","8BF","8BF05m 1"
"152","8","BF","05m","21/7/17","2017",10,8,0,2,0.2,0,"1","8BF05m","8BF","8BF05m 1"
"153","8","BF","20m","21/7/17","2017",10,10,0,0,0,0,"1","8BF20m","8BF","8BF20m 1"
"154","8","BF","20m","21/7/17","2017",10,10,0,0,0,0,"1","8BF20m","8BF","8BF20m 1"
"155","8","BF","20m","21/7/17","2017",10,7,0,3,0.3,0,"1","8BF20m","8BF","8BF20m 1"
"156","8","BF","20m","21/7/17","2017",10,10,0,0,0,0,"1","8BF20m","8BF","8BF20m 1"
"157","2","BE","00m","24/7/17","2017",10,9,0,1,0.1,0,"1","2BE00m","2BE","2BE00m 1"
"158","2","BE","00m","24/7/17","2017",10,3,0,7,0.7,0,"1","2BE00m","2BE","2BE00m 1"
"159","2","BE","00m","24/7/17","2017",10,8,0,2,0.2,0,"1","2BE00m","2BE","2BE00m 1"
"160","2","BE","00m","24/7/17","2017",10,7,0,3,0.3,0,"1","2BE00m","2BE","2BE00m 1"
"161","2","BE","05m","24/7/17","2017",10,10,0,0,0,0,"1","2BE05m","2BE","2BE05m 1"
"162","2","BE","05m","24/7/17","2017",10,10,0,0,0,0,"1","2BE05m","2BE","2BE05m 1"
"163","2","BE","05m","24/7/17","2017",10,9,0,1,0.1,0,"1","2BE05m","2BE","2BE05m 1"
"164","2","BE","05m","24/7/17","2017",10,7,0,3,0.3,0,"1","2BE05m","2BE","2BE05m 1"
"165","2","BE","20m","24/7/17","2017",10,9,0,1,0.1,0,"1","2BE20m","2BE","2BE20m 1"
"166","2","BE","20m","24/7/17","2017",10,9,0,1,0.1,0,"1","2BE20m","2BE","2BE20m 1"
"167","2","BE","20m","24/7/17","2017",10,10,0,0,0,0,"1","2BE20m","2BE","2BE20m 1"
"168","2","BE","20m","24/7/17","2017",10,8,0,2,0.2,0,"1","2BE20m","2BE","2BE20m 1"
"169","2","BF","00m","24/7/17","2017",10,0,0,10,1,0,"1","2BF00m","2BF","2BF00m 1"
"170","2","BF","00m","24/7/17","2017",10,8,0,2,0.2,0,"1","2BF00m","2BF","2BF00m 1"
"171","2","BF","00m","24/7/17","2017",10,9,0,1,0.1,0,"1","2BF00m","2BF","2BF00m 1"
"172","2","BF","00m","24/7/17","2017",10,6,0,4,0.4,0,"1","2BF00m","2BF","2BF00m 1"
"173","2","BF","05m","24/7/17","2017",10,9,0,1,0.1,0,"1","2BF05m","2BF","2BF05m 1"
"174","2","BF","05m","24/7/17","2017",10,10,0,0,0,0,"1","2BF05m","2BF","2BF05m 1"
"175","2","BF","05m","24/7/17","2017",10,9,0,1,0.1,0,"1","2BF05m","2BF","2BF05m 1"
"176","2","BF","05m","24/7/17","2017",10,9,0,1,0.1,0,"1","2BF05m","2BF","2BF05m 1"
"177","2","BF","20m","24/7/17","2017",10,9,0,1,0.1,0,"1","2BF20m","2BF","2BF20m 1"
"178","2","BF","20m","24/7/17","2017",10,10,0,0,0,0,"1","2BF20m","2BF","2BF20m 1"
"179","2","BF","20m","24/7/17","2017",10,9,0,1,0.1,0,"1","2BF20m","2BF","2BF20m 1"
"180","2","BF","20m","24/7/17","2017",10,9,0,1,0.1,0,"1","2BF20m","2BF","2BF20m 1"
"253","6","BE","00m","24/7/17","2017",10,9,0,1,0.1,0,"1","6BE00m","6BE","6BE00m 1"
"254","6","BE","00m","24/7/17","2017",10,4,0,6,0.6,0,"1","6BE00m","6BE","6BE00m 1"
"255","6","BE","00m","24/7/17","2017",10,9,0,1,0.1,0,"1","6BE00m","6BE","6BE00m 1"
"256","6","BE","00m","24/7/17","2017",10,8,0,2,0.2,0,"1","6BE00m","6BE","6BE00m 1"
"257","6","BE","05m","24/7/17","2017",10,8,0,2,0.2,0,"1","6BE05m","6BE","6BE05m 1"
"258","6","BE","05m","24/7/17","2017",10,10,0,0,0,0,"1","6BE05m","6BE","6BE05m 1"
"259","6","BE","05m","24/7/17","2017",10,7,0,3,0.3,0,"1","6BE05m","6BE","6BE05m 1"
"260","6","BE","05m","24/7/17","2017",10,10,0,0,0,0,"1","6BE05m","6BE","6BE05m 1"
"261","6","BE","20m","24/7/17","2017",10,10,0,0,0,0,"1","6BE20m","6BE","6BE20m 1"
"262","6","BE","20m","24/7/17","2017",10,7,0,3,0.3,0,"1","6BE20m","6BE","6BE20m 1"
"263","6","BE","20m","24/7/17","2017",10,7,0,3,0.3,0,"1","6BE20m","6BE","6BE20m 1"
"264","6","BE","20m","24/7/17","2017",10,6,0,4,0.4,0,"1","6BE20m","6BE","6BE20m 1"
"265","6","BF","00m","24/7/17","2017",10,9,0,1,0.1,0,"1","6BF00m","6BF","6BF00m 1"
"266","6","BF","00m","24/7/17","2017",10,10,0,0,0,0,"1","6BF00m","6BF","6BF00m 1"
"267","6","BF","00m","24/7/17","2017",10,7,0,3,0.3,0,"1","6BF00m","6BF","6BF00m 1"
"268","6","BF","00m","24/7/17","2017",10,9,0,1,0.1,0,"1","6BF00m","6BF","6BF00m 1"
"269","6","BF","05m","24/7/17","2017",10,9,0,1,0.1,0,"1","6BF05m","6BF","6BF05m 1"
"270","6","BF","05m","24/7/17","2017",10,9,0,1,0.1,0,"1","6BF05m","6BF","6BF05m 1"
"271","6","BF","05m","24/7/17","2017",10,10,0,0,0,0,"1","6BF05m","6BF","6BF05m 1"
"272","6","BF","05m","24/7/17","2017",10,5,0,5,0.5,0,"1","6BF05m","6BF","6BF05m 1"
"273","6","BF","20m","24/7/17","2017",10,9,0,1,0.1,0,"1","6BF20m","6BF","6BF20m 1"
"274","6","BF","20m","24/7/17","2017",10,10,0,0,0,0,"1","6BF20m","6BF","6BF20m 1"
"275","6","BF","20m","24/7/17","2017",10,8,0,2,0.2,0,"1","6BF20m","6BF","6BF20m 1"
"276","6","BF","20m","24/7/17","2017",10,8,0,2,0.2,0,"1","6BF20m","6BF","6BF20m 1"
"277","7","BE","00m","24/7/17","2017",10,8,0,2,0.2,0,"1","7BE00m","7BE","7BE00m 1"
"278","7","BE","00m","24/7/17","2017",10,9,0,1,0.1,0,"1","7BE00m","7BE","7BE00m 1"
"279","7","BE","00m","24/7/17","2017",10,6,0,4,0.4,0,"1","7BE00m","7BE","7BE00m 1"
"280","7","BE","00m","24/7/17","2017",10,10,0,0,0,0,"1","7BE00m","7BE","7BE00m 1"
"281","7","BE","05m","24/7/17","2017",10,0,0,10,1,0,"1","7BE05m","7BE","7BE05m 1"
"282","7","BE","05m","24/7/17","2017",10,9,0,1,0.1,0,"1","7BE05m","7BE","7BE05m 1"
"283","7","BE","05m","24/7/17","2017",10,8,0,2,0.2,0,"1","7BE05m","7BE","7BE05m 1"
"284","7","BE","05m","24/7/17","2017",10,0,0,10,1,0,"1","7BE05m","7BE","7BE05m 1"
"285","7","BE","20m","24/7/17","2017",10,6,0,4,0.4,0,"1","7BE20m","7BE","7BE20m 1"
"286","7","BE","20m","24/7/17","2017",10,10,0,0,0,0,"1","7BE20m","7BE","7BE20m 1"
"287","7","BE","20m","24/7/17","2017",10,0,0,10,1,0,"1","7BE20m","7BE","7BE20m 1"
"288","7","BE","20m","24/7/17","2017",10,10,0,0,0,0,"1","7BE20m","7BE","7BE20m 1"
"289","7","BF","00m","24/7/17","2017",10,0,0,10,1,0,"1","7BF00m","7BF","7BF00m 1"
"290","7","BF","00m","24/7/17","2017",10,0,0,10,1,0,"1","7BF00m","7BF","7BF00m 1"
"291","7","BF","00m","24/7/17","2017",10,7,0,3,0.3,0,"1","7BF00m","7BF","7BF00m 1"
"292","7","BF","00m","24/7/17","2017",10,7,0,3,0.3,0,"1","7BF00m","7BF","7BF00m 1"
"293","7","BF","05m","24/7/17","2017",10,8,0,2,0.2,0,"1","7BF05m","7BF","7BF05m 1"
"294","7","BF","05m","24/7/17","2017",10,3,0,7,0.7,0,"1","7BF05m","7BF","7BF05m 1"
"295","7","BF","05m","24/7/17","2017",10,10,0,0,0,0,"1","7BF05m","7BF","7BF05m 1"
"296","7","BF","05m","24/7/17","2017",10,0,0,10,1,0,"1","7BF05m","7BF","7BF05m 1"
"297","7","BF","20m","24/7/17","2017",10,10,0,0,0,0,"1","7BF20m","7BF","7BF20m 1"
"298","7","BF","20m","24/7/17","2017",10,0,0,10,1,0,"1","7BF20m","7BF","7BF20m 1"
"299","7","BF","20m","24/7/17","2017",10,0,0,10,1,0,"1","7BF20m","7BF","7BF20m 1"
"300","7","BF","20m","24/7/17","2017",10,8,0,2,0.2,0,"1","7BF20m","7BF","7BF20m 1"
"301","8","BE","00m","24/7/17","2017",10,7,0,3,0.3,0,"1","8BE00m","8BE","8BE00m 1"
"302","8","BE","00m","24/7/17","2017",10,8,0,2,0.2,0,"1","8BE00m","8BE","8BE00m 1"
"303","8","BE","00m","24/7/17","2017",10,9,0,1,0.1,0,"1","8BE00m","8BE","8BE00m 1"
"304","8","BE","00m","24/7/17","2017",10,8,0,2,0.2,0,"1","8BE00m","8BE","8BE00m 1"
"305","8","BE","05m","24/7/17","2017",10,9,0,1,0.1,0,"1","8BE05m","8BE","8BE05m 1"
"306","8","BE","05m","24/7/17","2017",10,9,0,1,0.1,0,"1","8BE05m","8BE","8BE05m 1"
"307","8","BE","05m","24/7/17","2017",10,8,0,2,0.2,0,"1","8BE05m","8BE","8BE05m 1"
"308","8","BE","05m","24/7/17","2017",10,10,0,0,0,0,"1","8BE05m","8BE","8BE05m 1"
"309","8","BE","20m","24/7/17","2017",10,9,0,1,0.1,0,"1","8BE20m","8BE","8BE20m 1"
"310","8","BE","20m","24/7/17","2017",10,6,0,4,0.4,0,"1","8BE20m","8BE","8BE20m 1"
"311","8","BE","20m","24/7/17","2017",10,8,0,2,0.2,0,"1","8BE20m","8BE","8BE20m 1"
"312","8","BE","20m","24/7/17","2017",10,9,0,1,0.1,0,"1","8BE20m","8BE","8BE20m 1"
"313","8","BF","00m","24/7/17","2017",10,10,0,0,0,0,"1","8BF00m","8BF","8BF00m 1"
"314","8","BF","00m","24/7/17","2017",10,7,0,3,0.3,0,"1","8BF00m","8BF","8BF00m 1"
"315","8","BF","00m","24/7/17","2017",10,10,0,0,0,0,"1","8BF00m","8BF","8BF00m 1"
"316","8","BF","00m","24/7/17","2017",10,10,0,0,0,0,"1","8BF00m","8BF","8BF00m 1"
"317","8","BF","05m","24/7/17","2017",10,9,0,1,0.1,0,"1","8BF05m","8BF","8BF05m 1"
"318","8","BF","05m","24/7/17","2017",10,6,0,4,0.4,0,"1","8BF05m","8BF","8BF05m 1"
"319","8","BF","05m","24/7/17","2017",10,10,0,0,0,0,"1","8BF05m","8BF","8BF05m 1"
"320","8","BF","05m","24/7/17","2017",10,10,0,0,0,0,"1","8BF05m","8BF","8BF05m 1"
"321","8","BF","20m","24/7/17","2017",10,9,0,1,0.1,0,"1","8BF20m","8BF","8BF20m 1"
"322","8","BF","20m","24/7/17","2017",10,8,0,2,0.2,0,"1","8BF20m","8BF","8BF20m 1"
"323","8","BF","20m","24/7/17","2017",10,6,0,4,0.4,0,"1","8BF20m","8BF","8BF20m 1"
"324","8","BF","20m","24/7/17","2017",10,9,0,1,0.1,0,"1","8BF20m","8BF","8BF20m 1"
"325","2","BE","00m","28/7/17","2017",10,0,0,10,1,0,"1","2BE00m","2BE","2BE00m 1"
"326","2","BE","00m","28/7/17","2017",10,0,0,10,1,0,"1","2BE00m","2BE","2BE00m 1"
"327","2","BE","00m","28/7/17","2017",10,8,0,2,0.2,0,"1","2BE00m","2BE","2BE00m 1"
"328","2","BE","00m","28/7/17","2017",10,6,0,4,0.4,0,"1","2BE00m","2BE","2BE00m 1"
"329","2","BE","05m","28/7/17","2017",10,10,0,0,0,0,"1","2BE05m","2BE","2BE05m 1"
"330","2","BE","05m","28/7/17","2017",10,6,0,4,0.4,0,"1","2BE05m","2BE","2BE05m 1"
"331","2","BE","05m","28/7/17","2017",10,10,0,0,0,0,"1","2BE05m","2BE","2BE05m 1"
"332","2","BE","05m","28/7/17","2017",10,10,0,0,0,0,"1","2BE05m","2BE","2BE05m 1"
"333","2","BE","20m","28/7/17","2017",10,5,0,5,0.5,0,"1","2BE20m","2BE","2BE20m 1"
"334","2","BE","20m","28/7/17","2017",10,3,0,7,0.7,0,"1","2BE20m","2BE","2BE20m 1"
"335","2","BE","20m","28/7/17","2017",10,6,0,4,0.4,0,"1","2BE20m","2BE","2BE20m 1"
"336","2","BE","20m","28/7/17","2017",10,8,0,2,0.2,0,"1","2BE20m","2BE","2BE20m 1"
"337","2","BF","00m","28/7/17","2017",10,9,0,1,0.1,0,"1","2BF00m","2BF","2BF00m 1"
"338","2","BF","00m","28/7/17","2017",10,7,0,3,0.3,0,"1","2BF00m","2BF","2BF00m 1"
"339","2","BF","00m","28/7/17","2017",10,9,0,1,0.1,0,"1","2BF00m","2BF","2BF00m 1"
"340","2","BF","00m","28/7/17","2017",10,7,0,3,0.3,0,"1","2BF00m","2BF","2BF00m 1"
"341","2","BF","05m","28/7/17","2017",10,8,0,2,0.2,0,"1","2BF05m","2BF","2BF05m 1"
"342","2","BF","05m","28/7/17","2017",10,10,0,0,0,0,"1","2BF05m","2BF","2BF05m 1"
"343","2","BF","05m","28/7/17","2017",10,7,0,3,0.3,0,"1","2BF05m","2BF","2BF05m 1"
"344","2","BF","05m","28/7/17","2017",10,10,0,0,0,0,"1","2BF05m","2BF","2BF05m 1"
"345","2","BF","20m","28/7/17","2017",10,9,0,1,0.1,0,"1","2BF20m","2BF","2BF20m 1"
"346","2","BF","20m","28/7/17","2017",10,5,0,5,0.5,0,"1","2BF20m","2BF","2BF20m 1"
"347","2","BF","20m","28/7/17","2017",10,6,0,4,0.4,0,"1","2BF20m","2BF","2BF20m 1"
"348","2","BF","20m","28/7/17","2017",10,9,0,1,0.1,0,"1","2BF20m","2BF","2BF20m 1"
"421","6","BE","00m","28/7/17","2017",10,10,0,0,0,0,"1","6BE00m","6BE","6BE00m 1"
"422","6","BE","00m","28/7/17","2017",10,10,0,0,0,0,"1","6BE00m","6BE","6BE00m 1"
"423","6","BE","00m","28/7/17","2017",10,8,0,2,0.2,0,"1","6BE00m","6BE","6BE00m 1"
"424","6","BE","00m","28/7/17","2017",10,10,0,0,0,0,"1","6BE00m","6BE","6BE00m 1"
"425","6","BE","05m","28/7/17","2017",10,10,0,0,0,0,"1","6BE05m","6BE","6BE05m 1"
"426","6","BE","05m","28/7/17","2017",10,10,0,0,0,0,"1","6BE05m","6BE","6BE05m 1"
"427","6","BE","05m","28/7/17","2017",10,9,0,1,0.1,0,"1","6BE05m","6BE","6BE05m 1"
"428","6","BE","05m","28/7/17","2017",10,8,0,2,0.2,0,"1","6BE05m","6BE","6BE05m 1"
"429","6","BE","20m","28/7/17","2017",10,9,0,1,0.1,0,"1","6BE20m","6BE","6BE20m 1"
"430","6","BE","20m","28/7/17","2017",10,9,0,1,0.1,0,"1","6BE20m","6BE","6BE20m 1"
"431","6","BE","20m","28/7/17","2017",10,9,0,1,0.1,0,"1","6BE20m","6BE","6BE20m 1"
"432","6","BE","20m","28/7/17","2017",10,9,0,1,0.1,0,"1","6BE20m","6BE","6BE20m 1"
"433","6","BF","00m","28/7/17","2017",10,5,0,5,0.5,0,"1","6BF00m","6BF","6BF00m 1"
"434","6","BF","00m","28/7/17","2017",10,9,0,1,0.1,0,"1","6BF00m","6BF","6BF00m 1"
"435","6","BF","00m","28/7/17","2017",10,10,0,0,0,0,"1","6BF00m","6BF","6BF00m 1"
"436","6","BF","00m","28/7/17","2017",10,9,0,1,0.1,0,"1","6BF00m","6BF","6BF00m 1"
"437","6","BF","05m","28/7/17","2017",10,0,0,10,1,0,"1","6BF05m","6BF","6BF05m 1"
"438","6","BF","05m","28/7/17","2017",10,9,0,1,0.1,0,"1","6BF05m","6BF","6BF05m 1"
"439","6","BF","05m","28/7/17","2017",10,8,0,2,0.2,0,"1","6BF05m","6BF","6BF05m 1"
"440","6","BF","05m","28/7/17","2017",10,10,0,0,0,0,"1","6BF05m","6BF","6BF05m 1"
"441","6","BF","20m","28/7/17","2017",10,9,0,1,0.1,0,"1","6BF20m","6BF","6BF20m 1"
"442","6","BF","20m","28/7/17","2017",10,9,0,1,0.1,0,"1","6BF20m","6BF","6BF20m 1"
"443","6","BF","20m","28/7/17","2017",10,6,0,4,0.4,0,"1","6BF20m","6BF","6BF20m 1"
"444","6","BF","20m","28/7/17","2017",10,10,0,0,0,0,"1","6BF20m","6BF","6BF20m 1"
"445","7","BE","00m","28/7/17","2017",10,8,0,2,0.2,0,"1","7BE00m","7BE","7BE00m 1"
"446","7","BE","00m","28/7/17","2017",10,10,0,0,0,0,"1","7BE00m","7BE","7BE00m 1"
"447","7","BE","00m","28/7/17","2017",10,9,0,1,0.1,0,"1","7BE00m","7BE","7BE00m 1"
"448","7","BE","05m","28/7/17","2017",10,10,0,0,0,0,"1","7BE05m","7BE","7BE05m 1"
"449","7","BE","05m","28/7/17","2017",10,10,0,0,0,0,"1","7BE05m","7BE","7BE05m 1"
"450","7","BE","05m","28/7/17","2017",10,9,0,1,0.1,0,"1","7BE05m","7BE","7BE05m 1"
"451","7","BE","05m","28/7/17","2017",10,8,0,2,0.2,0,"1","7BE05m","7BE","7BE05m 1"
"452","7","BE","20m","28/7/17","2017",10,5,0,5,0.5,0,"1","7BE20m","7BE","7BE20m 1"
"453","7","BE","20m","28/7/17","2017",10,10,0,0,0,0,"1","7BE20m","7BE","7BE20m 1"
"454","7","BE","20m","28/7/17","2017",10,10,0,0,0,0,"1","7BE20m","7BE","7BE20m 1"
